wine_url,collected
https://www.vivino.com/GB/en/einig-zenzen-zeller-schwarze-katz/w/7490856,False
https://www.vivino.com/GB/en/roccamura-toscana-rosso/w/7490893,False
https://www.vivino.com/GB/en/gassier-esprit-gassier-limited-day-edition/w/7490927,False
https://www.vivino.com/GB/en/piggs-peake-rascally-piglet/w/7490938,False
https://www.vivino.com/GB/en/colina-de-suenos-rose/w/7490942,False
https://www.vivino.com/GB/en/domaine-la-bade-edition-princeps-rose/w/7490966,False
https://www.vivino.com/GB/en/bodega-a16-civit-757-cabernet-sauvignon/w/7490972,False
https://www.vivino.com/GB/en/clos-galant-rouge/w/7490984,False
https://www.vivino.com/GB/en/serpi-merlot/w/7490988,False
https://www.vivino.com/GB/en/waldschutz-handwerk-weingartenselektion-gruner-veltliner-niederosterreich/w/7490999,False
https://www.vivino.com/GB/en/bodega-a16-civit-757-malbec/w/7491007,False
https://www.vivino.com/GB/en/phillip-island-wild-goose-chase-chardonnay-pinot-noir-sparkling/w/7491053,False
https://www.vivino.com/GB/en/de-markus-molitor-trabener-ortswein-riesling/w/7491075,False
https://www.vivino.com/GB/en/attitude-gris/w/7491076,False
https://www.vivino.com/GB/en/greenock-merlot-cabernet/w/7491083,False
https://www.vivino.com/GB/en/kantina-bejko-chardonnay/w/7491085,False
https://www.vivino.com/GB/en/domaine-de-la-cornuliere-vignoble-barreau-gamay-rose/w/7491089,False
https://www.vivino.com/GB/en/flyinge-vingard-pegasus-solera/w/7491111,False
https://www.vivino.com/GB/en/love-wines-michigan-s-edelweiss/w/7491126,False
https://www.vivino.com/GB/en/vicap-los-confines-moscatel/w/7491135,False
https://www.vivino.com/GB/en/haiden-gemischter-satz/w/7491136,False
https://www.vivino.com/GB/en/martinez-gutierrez-almonacid-de-la-sierra-zaragoza/w/7491148,False
https://www.vivino.com/GB/en/jean-vullien-et-fils-savoie-harmonie/w/7491159,False
https://www.vivino.com/GB/en/giachino-black-giac/w/7491171,False
https://www.vivino.com/GB/en/champagne-dore-vieilles-vignes-blanc-de-blancs-champagne-premier-cru/w/7491172,False
https://www.vivino.com/GB/en/vino-sykora-neronet/w/7491195,False
https://www.vivino.com/GB/en/rheinberg-soave-trocken/w/7491222,False
https://www.vivino.com/GB/en/reunis-roqueter-vieilles-vignes-carignan/w/7491231,False
https://www.vivino.com/GB/en/alois-dahn-winkeler-hasensprung-riesling-spatlese-trocken/w/7491238,False
https://www.vivino.com/GB/en/hajdu-serraglio/w/7491243,False
https://www.vivino.com/GB/en/strapina-sylvanske-zelene/w/7491253,False
https://www.vivino.com/GB/en/salwey-vive-le-83-rose/w/7491266,False
https://www.vivino.com/GB/en/jean-pierre-poirel-tradition-brut-champagne-grand-cru-verzy/w/7491278,False
https://www.vivino.com/GB/en/ottmann-zweigelt-rose/w/7491280,False
https://www.vivino.com/GB/en/anton-herxheimer-engelsberg-merlot-trocken/w/7491286,False
https://www.vivino.com/GB/en/breidscheid-grauer-burgunder-classic/w/7491292,False
https://www.vivino.com/GB/en/mas-des-rompudes-la-capitelle-pays-dherault/w/7491301,False
https://www.vivino.com/GB/en/cave-du-luberon-domaine-saint-cassian-luberon-rose/w/7491308,False
https://www.vivino.com/GB/en/nikolaou-evia-lalari-white/w/7491312,False
https://www.vivino.com/GB/en/vindemio-mio-blanc/w/7491322,False
https://www.vivino.com/GB/en/mapliers-abacus-cotes-de-provence-rose/w/7491332,False
https://www.vivino.com/GB/en/frederic-puffeney-arbois-savagnin/w/7491333,False
