year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,166653433,9069452,14,4.2
2014,166653478,9069475,11,3.7
2019,166653493,9069482,35,3.9
2019,166653524,9069495,33,4.2
2019,166653559,9069512,30,3.8
2018,166678144,9069512,22,3.7
2017,166685188,9069512,15,3.6
2018,166691043,9069569,16,3.8
2019,167555890,9069579,49,3.9
2018,166653707,9069579,241,3.9
2019,166653739,9069595,22,4.3
2018,166654516,9069922,84,3.9
2019,166597055,9069969,40,3.3
2018,166654648,9069985,25,4.1
2019,166655178,9070199,12,3.3
2017,166655683,9070385,12,4.4
2018,166655746,9070414,35,4.0
2019,166693414,9070594,10,4.5
2019,166662490,9070645,28,4.4
2017,166656666,9070692,10,4.0
2019,166656979,9070797,12,3.7
2016,166661413,9072267,98,3.6
2018,166685605,9072378,22,3.7
2019,166661705,9072399,13,2.6
2018,166661770,9072433,40,3.6
2018,166686749,9072460,15,4.0
2016,166686748,9072460,10,3.6
2018,166666656,9072646,19,4.2
2018,166610199,9072801,42,3.5
2018,166662685,9072833,21,3.7
2019,166662815,9072871,33,3.4
2018,166664098,9073324,10,3.9
2019,166613904,9073994,34,3.8
2019,166670236,9075369,207,3.4
2017,166670587,9075521,11,3.9
2017,166706684,9075595,16,4.0
2019,166721960,9075654,114,3.4
2019,166671861,9076000,14,4.1
2017,166834637,9076000,12,4.4
2019,166672560,9076236,23,3.7
2017,166728813,9076236,12,4.2
2019,166732001,9078023,18,3.7
2019,166747415,9078268,11,3.5
2019,166678761,9078307,44,3.2
2018,166678791,9078319,19,4.2
2019,166679548,9078606,25,3.8
2019,166706317,9078717,106,4.1
2017,166681187,9079176,24,3.9
2018,166723875,9079203,75,3.7
2019,166686886,9080975,135,2.6
2019,166687376,9081158,277,4.2
2018,166687402,9081164,16,4.2
2017,166687552,9081229,59,4.2
2018,166799019,9081316,32,4.2
2019,166689016,9081804,159,3.6
2019,166689039,9081814,15,4.3
2019,166689116,9081840,166,4.0
2018,166731485,9081848,47,3.8
2017,166729359,9081848,25,2.9
2016,166728845,9081848,22,4.3
2012,166730540,9081848,11,4.0
